"","X","if.bias","pi.bias","if2.bias","pi2.bias","delta"
"202",2,-0.0858300919807482,-0.0279629450362863,-0.0378228117701067,0.046157529661362,1.5
"203",3,-0.0075803306964396,0.0250402765188077,-0.0664485954294756,0.0155936350892363,1.5
"204",4,0.0663292323463237,-0.00980353090945885,0.0555737504818122,0.018514704983014,1.5
"205",5,-0.10055707628475,-0.022284211537365,-0.113582023401625,-0.0174957970820433,1.5
"206",6,-0.217439419625679,-0.0155001082721798,-0.122087534416846,0.0207870494330443,1.5
"207",7,0.0530949804905643,-0.00707302737470017,0.0202380386649871,-0.00313409227325885,1.5
"208",8,0.101916363066521,-0.0474265449920185,0.0825112654468975,-0.000328697813780088,1.5
"209",9,0.199175000317097,-0.0809109810355075,0.197815767052574,-0.0117318189795764,1.5
"210",10,0.00659833951130012,-0.0445715343075602,-0.0388842633194986,-0.0612394211188431,1.5
"211",11,0.177498025337413,-0.00527853189161703,0.179044661649791,0.0428032305748745,1.5
"212",12,-0.0237682244519212,-0.0621029848006445,0.0170043693189671,-0.0199249104669331,1.5
"213",13,0.0139120414967362,-0.0141470114524553,0.00331891574710131,0.00169169895241497,1.5
"214",14,-0.118663705012427,-0.0656442353294694,-0.0556840916977805,0.0130985018130306,1.5
"215",15,0.0549538352256374,-0.0257308521288707,-0.0269078457499602,0.000560426941410397,1.5
"216",16,0.0768773101229917,-0.0375169084618351,0.0875231715999626,0.0291241447174245,1.5
"217",17,0.0437275552197213,-0.0536531782968195,-0.00522397864934873,0.00878933903155318,1.5
"218",18,0.0314513504176105,-0.0417012223514603,-0.0215884500321895,-0.034863181425896,1.5
"219",19,-0.0444791901570614,-0.0653854280523198,-0.00690953990976769,-0.00454587267947229,1.5
"220",20,-0.127406532353143,-0.0149306989686092,-0.086810172918338,0.0180243813123909,1.5
"221",21,0.105652771758709,0.0398904022207189,0.0123719741772918,0.0158798665091543,1.5
"222",22,-0.0756596002126436,0.00131978018099105,-0.092518659701946,0.0282469967332798,1.5
"223",23,0.0378568349407574,-0.0576827990028869,0.0567903500977142,-0.00899186892271637,1.5
"224",24,-0.00343011950550048,0.00830905282217148,0.0170861666164416,0.0340800025564856,1.5
"225",25,0.0192226983441706,-0.085925079813877,0.0308321057074676,-0.00402604007038531,1.5
"226",26,0.0987488676778823,-0.0752235483742889,0.0897946704865964,-0.0221095079449485,1.5
"227",27,0.169564365829322,-0.0220997609271337,0.041065941808795,0.00351204668082231,1.5
"228",28,-0.00970771646735785,-0.0168668839370297,-0.0440029676833085,-0.0049464072477442,1.5
"229",29,-0.0314695277358759,-0.0890648805883297,-0.0294484424402302,-0.032173293181715,1.5
"230",30,0.0894644730520142,0.000291652082453298,0.0436694855189878,0.000318527618014619,1.5
"231",31,0.174656158892671,0.0205956190674665,0.0925790718025173,-0.00155880936528106,1.5
"232",32,0.0799947420933035,-0.0198565345574092,0.0516219640014323,-0.0166602362658253,1.5
"233",33,0.134437733198309,-0.0187092625084908,0.15240811346792,0.00850937788426919,1.5
"234",34,0.06941667368279,-0.0560588197983163,0.0554889839170854,0.00235059042393833,1.5
"235",35,-0.154684267209057,-0.0738233880590802,-0.107852016662538,-0.0139658993068445,1.5
"236",36,0.346255850815763,0.0226361272193648,0.227937221253508,0.0165994056162418,1.5
"237",37,0.0644986454407023,0.0218835787720032,0.00606564203020483,0.0253882642072846,1.5
"238",38,-0.065819282751553,-0.0794454654675015,-0.0355504380405778,-0.0505626266261918,1.5
"239",39,-0.0460459837418017,-0.0794675003744557,0.030834434008153,0.033110814767214,1.5
"240",40,0.00737634228287271,0.025908062863605,-0.0234901186184301,0.0427547143244121,1.5
"241",41,-0.167056590670797,-0.028883306985535,-0.166825056304202,-0.0117068750448295,1.5
"242",42,0.00457746776141837,0.00817420768429011,-0.00661268834155447,0.0193051181032814,1.5
"243",43,0.00246840559001488,-0.0985423688042192,0.0020907079329193,-0.0322667023061022,1.5
"244",44,0.0802581428958076,-0.104482378675595,0.0794779511657787,-0.00560420548182487,1.5
"245",45,-0.162646763367626,-0.125287791128725,-0.102017175987259,-0.0422048843638878,1.5
"246",46,-0.198694306419353,-0.0377539513304684,-0.108867606917654,0.0356393817031394,1.5
"247",47,0.219199784279955,-0.0397272187420605,0.149914868088059,-0.00675605676723896,1.5
"248",48,0.0810823652849078,-0.00431749197544506,0.105480352838253,0.0406241393944447,1.5
"249",49,-0.0766780184251592,-0.00168639278928456,-0.0761924449099143,0.042528984148037,1.5
"250",50,-0.026502849076422,-0.0633816331858646,0.0552094680793905,-0.0220484681549043,1.5
"251",51,-0.114075676467017,-0.0286135442168908,-0.0738896996248509,0.0279102962782859,1.5
"252",52,0.106731553750717,0.0359365540009985,0.0521970963674256,0.0130684643045672,1.5
"253",53,-0.023899968193896,-0.0598003619731204,0.0202782869953357,-0.0216560012559193,1.5
"254",54,0.0343606184035918,-0.0597851920961651,0.069779325607113,0.0296037157845722,1.5
"255",55,0.186627302750331,-0.0457313892898717,0.102812481017965,-0.00252162994746399,1.5
"256",56,0.111727187625026,-0.0149099681502107,0.0871675120685221,0.021180896690222,1.5
"257",57,-0.00757322570755076,-0.0627196005726032,-0.00378518295609244,0.00729072137945577,1.5
"258",58,-0.226508022290671,-0.0895464018331539,-0.0933198466139773,-0.0141518527203913,1.5
"259",59,0.0576640187557823,-0.0421870928987252,0.0231326030897171,-0.00442561106823805,1.5
"260",60,0.00893623121094478,-0.047602819709136,0.0128649692129851,-0.0176308439577867,1.5
"261",61,-0.0535414326721248,-0.0851852488400116,0.0319465742019115,0.00490527952984961,1.5
"262",62,0.112078352403015,-0.0544285074402963,0.0196112571937265,-0.0469887203216928,1.5
"263",63,0.206832559196467,-0.0276488861856328,0.106349849545389,0.0145038882412249,1.5
"264",64,0.0888605371817222,-0.0438934729010362,0.165750613416884,0.0277557880406488,1.5
"265",65,-0.0721276448011134,-0.0264426387948262,-0.00387177316557355,0.0129772550430052,1.5
"266",66,0.170805120217305,0.00321743515124256,0.105528818035265,-0.0095579741598374,1.5
"267",67,-0.165602659682807,-0.070639705032929,-0.126432445392431,-0.00657559918369904,1.5
"268",68,0.0137678091089663,-0.114833618428787,0.0479214781835422,-0.0381788285233924,1.5
"269",69,-0.158888129697809,-0.0445562346773686,-0.0301953187532836,0.0310516593537458,1.5
"270",70,-0.0419277757229973,-0.0181961573377254,0.0162803894778974,0.0377225988471954,1.5
"271",71,0.0913966736235534,-0.00662476794767364,0.102658867156469,0.0347857281200492,1.5
"272",72,0.0774865602762417,-0.02800791497743,0.0870025679995793,-0.00162248290349841,1.5
"273",73,-0.00948728592838366,-0.075283631602396,0.0161930844507922,-0.00542712670235821,1.5
"274",74,0.114130980737749,-0.0299997239320877,0.0609909675665163,0.00341924611915531,1.5
"275",75,-0.0451530483466399,-0.0910301502368112,0.0121394616678572,0.00473242170958008,1.5
"276",76,-0.0742355863202732,-0.0363526729911913,-0.029895798596288,0.0278685877275523,1.5
"277",77,0.0616310087493617,-0.0540675550785778,0.0132135764149048,-0.0219216638598018,1.5
"278",78,0.0812403974461058,-0.00349993089938444,0.10282120433417,0.046614222355342,1.5
"279",79,-0.026991808200071,-0.00793762300812495,-0.058259418241987,0.00978839478058704,1.5
"280",80,-0.181508477454556,-0.129578216418605,-0.0975628184890025,-0.0279601626032613,1.5
"281",81,-0.0675101365403288,-0.03494908913237,-0.129769125144882,-0.0265248185241756,1.5
"282",82,0.0790451793201318,-0.0606431748442721,0.0633521481598344,0.0325130103368425,1.5
"283",83,0.161411904596841,0.0319101787893267,0.0672901139197605,0.0414696425101078,1.5
"284",84,-0.120798580933904,-0.0836449755087776,-0.130141907807875,-0.0151740542392891,1.5
"285",85,-0.0115905274571492,-0.0762096638295088,0.0239066272997385,-0.00841347084172697,1.5
"286",86,-0.181932614799585,-0.0689314480400467,-0.133568336760953,-0.0186147730161874,1.5
"287",87,0.195251713848863,-0.0690607104947522,0.220965936235751,-0.0016566216985774,1.5
"288",88,0.134288649621406,-0.0591899320518344,0.113800767830448,0.00519543297727259,1.5
"289",89,-0.0839280080197075,-0.0515666301444045,-0.060775764265604,-0.0207625503361641,1.5
"290",90,0.0843034656197246,-0.0253879141910618,0.0677172544497931,0.0012165084829902,1.5
"291",91,0.130283343320937,0.0164358732372928,0.0449292528451681,0.00263398070999579,1.5
"292",92,0.023845716705222,-0.0214367572436642,0.00764048417174312,0.0143674468142382,1.5
"293",93,0.0446611640657267,0.000854601967603119,0.0160095181740477,-0.00213423828210216,1.5
"294",94,0.0457126252423389,-0.108322362875611,0.0861046168428626,-0.0178179581532505,1.5
"295",95,0.228665312230203,-0.00594981727420357,0.149782522553502,0.0561667896499953,1.5
"296",96,0.0091129662005916,-0.0313273858952479,0.0509569621348602,-0.00125704792144847,1.5
"297",97,0.208903216424851,-0.00846306544582276,0.10523013496039,-0.020489232740611,1.5
"298",98,0.115407727399268,-0.0361499100539538,0.137005038850382,-0.014024511742019,1.5
"299",99,0.243752561593939,-0.0405234121898107,0.153297247877568,-0.0030505524491553,1.5
"300",100,-0.106339530351956,-0.0133488388384869,-0.084526685513494,-0.0208376627047157,1.5
"301",1,0.135129189598134,-0.00587071994255411,0.0752417251147478,0.0105013860527949,2
"302",2,-0.0650068168215945,-0.0306076862926477,-0.0740823024575054,0.000442000327941882,2
"303",3,0.201950506463205,-0.0342828294228698,0.157229783792667,0.0121786174845673,2
